,weekday,minutes_since_midnight,apparent_temperature (°C),precipitation (mm),cloud_cover (%),shap weekday,shap minutes_since_midnight,shap apparent_temperature,shap precipitation,shap cloud_cover
0,5.0,982.0,16.76175,0.0,26.765,-5.357858220855398,49.639622914075865,-6.092771167476972,-0.2904486997127602,-6.321754056930544
1,6.0,867.0,11.7509165,0.09038889,90.0,-2.9954119786421565,47.88388620726269,-2.811291116158171,-0.2611469605366432,-1.4409970918099095
2,2.0,355.0,11.7425,0.0,95.46667,4.849904379208876,-46.285153404514,-2.180372830271725,-0.3948192251126015,2.420365547299384
3,6.0,81.0,5.848889,0.0,17.328888,-2.0494214807947593,-63.397832407852036,1.323317772845427,-0.14186416169007643,-0.2441241748134324
4,2.0,300.0,-0.80341667,0.0,63.330276,-0.09698508797089112,-71.9403342736562,-0.21608857063452547,0.008473349481818993,-1.6717510389586296
5,5.0,1299.0,13.996,0.0,55.54,-10.921736727078766,-28.502136370460185,-0.15320143751303927,0.14621479062239207,-3.3170908499956138
6,3.0,108.0,6.519861,0.0,53.431946,-0.3434109183549978,-67.65340587460994,-0.24348311686516233,-0.01611493313312895,-1.7114888116121327
7,6.0,689.0,13.530167,0.0,82.528336,1.0475031060377837,60.155925615668295,-1.7276659277677675,-0.4885529021024726,-3.2312885685364394
8,0.0,47.0,14.760834,0.0,86.16111,1.8508382622202237,-70.66967453839382,0.019110386351745667,0.06773074634869669,0.15101957041024994
9,0.0,100.0,15.035556,0.13422222,91.68445,1.6129530336459368,-70.77865481128298,0.019235338568691418,0.01868336796760417,0.8135273161530465
10,2.0,1378.0,0.4,0.6088333,100.0,1.6593827351331711,-57.55402158147097,-3.8884371208747206,-1.1374103869597127,3.7714890068173395
11,0.0,813.0,11.231584,0.9684167,100.0,3.174635987997039,43.41506435739002,0.2835174810588339,0.2321407648126308,5.688267199814321
12,3.0,1009.0,8.051666,0.0,97.172226,-0.2560746311743838,60.649859659910184,1.2358115313847873,-0.35891379630566655,9.29578543448448
13,3.0,216.0,-0.0355,1.16825,100.0,-0.14343374266227116,-71.96204873257875,1.9613858026862179,-0.38556725853681684,4.882438510616618
14,0.0,869.0,7.0973334,0.0,18.96,2.766013720601796,45.87526235845686,1.4604269944330022,-0.07016716051101834,-2.4307888450523234
15,1.0,1371.0,0.22825,0.1,99.0025,4.427119243860256,-53.75003387469052,-4.723891959965229,0.1856285459995286,2.43839033794403
16,0.0,958.0,14.6335,2.0609167,12.1675,3.161260814527669,50.85562388257187,-3.866377550303939,-1.0060864217479994,-8.81425013417006
17,6.0,674.0,20.2305,0.0,20.6975,3.50940276751915,61.90387960284947,-9.326767955323064,-0.4680196557442331,-0.5298097641269326
18,6.0,1314.0,8.563111,0.0,72.03111,-10.877065253059069,-33.86263766964277,-1.1997983443737017,-0.1324905482927985,-1.62911811133226
19,0.0,1207.0,10.275833,0.0,31.751667,11.981973641614127,18.362999112804733,-1.127611541450026,0.3081450374921184,-15.875976833899815
20,0.0,1302.0,4.745278,0.2418889,100.0,11.394627797484393,-14.692904178271702,-3.4401758953630956,-0.46261320265134165,12.385011094093322
21,0.0,196.0,13.643556,1.4613333,100.0,0.24787917209663846,-71.85122596092027,0.7280709828734389,-1.2536430763900293,4.052085593670608
22,1.0,686.0,9.478,0.1,64.115,-1.2979690843621974,40.16675865900516,-0.5985958124995308,-0.07141359198093378,-6.169268758972488
23,5.0,499.0,-4.1645,0.0,19.6775,-4.73148678962389,27.393978868881856,6.81456425682703,-0.31029651625951526,-1.8022188065846774
24,3.0,483.0,8.175333,0.10627778,90.0,6.662099389274925,25.644046476523087,0.9365770525137536,0.06057663663228485,-0.8657681242227597
25,3.0,350.0,-1.9697778,0.0,12.767222,-0.006330889215092839,-47.27193214779099,4.792252295414601,0.16483877638975386,-3.059297397534053
26,4.0,234.0,1.9667778,0.0,57.79,-1.7003192054033267,-68.75724784501394,0.7887574810981732,-0.13459762303034495,-3.2686157630682007
27,5.0,423.0,9.737,0.0,100.0,-18.363110651671875,6.900519718825825,-3.95606116920709,-1.0937432537476233,11.899248533348244
28,0.0,1400.0,0.6347778,0.0,30.695555,7.046528066078817,-53.197643643438816,-2.17904755812884,0.3756173629363371,-2.872994665622713
29,6.0,1340.0,-3.39275,0.0,7.462222,-6.850093365093066,-44.47326715685925,-2.9780216945012414,-0.16482376811902277,2.6540082587997116
30,5.0,924.0,3.8,0.059,27.59,-2.5115283451080597,51.95706479911009,4.739723559459048,-0.23360322372118558,-3.606128227670987
31,5.0,920.0,9.6005,0.1,35.66111,-3.5571454246441263,50.94291532083354,-0.9471976335446044,-0.14439447716871356,-3.4714840012391432
32,4.0,1108.0,14.64775,0.0,24.2975,-6.996862927158688,38.59414643836023,-1.2444412071307474,0.11115122886498252,-13.865573430339499
33,0.0,398.0,-3.7196667,0.0,40.213333,7.42703984242679,10.023823275536305,5.270707729578017,0.4399790499806362,-8.10965384277701
34,2.0,509.0,-1.6057777,0.0,69.70556,4.849000824908426,35.12957739027342,2.2867599115967776,-0.17184251952171836,4.184993465065959
35,6.0,1432.0,7.0291667,0.0,86.31333,-10.714705382744466,-62.07341875986259,0.1207944606145186,0.04622873051961074,0.46205044631163084
36,0.0,1054.0,23.942667,0.0,43.871666,7.101408025085929,53.05688620146115,-6.287564919432009,-0.011382835050427698,-5.081368569175405
37,2.0,1264.0,6.721083,0.121083334,100.0,4.850612583617387,5.705507130384439,-0.9941560020446807,0.29546660310030104,19.262016398866972
38,0.0,1001.0,6.992417,0.0,68.170555,4.276181523859513,53.284290103872635,1.4539766618212089,0.0036182032624898497,-3.842696316977344
39,3.0,391.0,8.641556,0.0,64.87889,4.525690249651676,1.0070581925411974,-1.9928722818195852,0.3651436946789377,-6.165654317885634
40,1.0,1404.0,11.042167,0.0,29.400833,5.939465922534474,-50.64963757006328,0.3086194137930902,0.3049236807425788,-4.273087178150813
41,5.0,538.0,-0.92733335,0.0,95.02278,2.5189180034001506,34.10159895793598,4.403785830497734,-0.4387953383127843,1.8350409449736294
42,2.0,151.0,2.896222,0.0,0.0,0.17642043427626497,-67.42147360438109,1.989921845753984,0.07484399841228839,-2.642310218254727
43,4.0,1190.0,9.047083,0.0,83.717224,-7.515518870830544,8.106840672413504,-0.31411078103383305,0.40077947787443646,-14.223010642409324
44,6.0,651.0,15.979584,0.17061111,75.26139,-1.748217873175916,53.7281889418761,-4.149350293874741,0.23890962084134149,-2.4778623072306303
45,0.0,653.0,16.342916,0.22283334,70.63,1.853876624445121,41.302175908724486,-1.130950835406781,-0.0010962775945633219,-2.013887929876648
46,1.0,617.0,3.6781666,0.0,78.04361,-2.4213488466540802,41.93144680748383,1.481688885192078,-0.12016901791095869,1.3530840127666783
47,1.0,608.0,2.496,0.1,51.8,-1.6300195781390094,36.7995734067758,2.3404938797156065,-0.021467343668144956,-4.261025130252043
48,1.0,1122.0,12.018333,0.0,11.888889,6.045210197349396,41.59692444342376,-0.4314008509318117,0.2533294159968684,-15.25643594992161
49,2.0,1182.0,22.761806,3.5770833,63.819443,2.5049643445213547,36.7984108488957,13.549674959401294,-6.165641627987229,-3.980063556512198
50,1.0,573.0,3.8300834,0.18672222,100.0,-2.6897158494591604,26.35759590268136,1.5272079450885436,0.02883735626935824,-1.0217760039369308
51,4.0,1356.0,8.4975,0.0,63.356667,-4.710624777356777,-44.672066191116976,-0.6857697199583059,0.23584683350721747,-1.0962029809554426
52,4.0,928.0,19.341917,0.0,55.814445,-3.8604177313248123,45.06955202627181,-5.450516105413435,-0.28641582659880926,0.7130707670052834
53,2.0,255.0,9.497778,0.0,14.833333,0.4774337972799927,-67.09131715252003,-0.4272206696271934,0.12882777508099297,-1.9783025375405963
54,5.0,687.0,12.7115,0.0465,100.0,2.42022889548538,60.26830988440912,1.4967828573187303,-0.17116776690879787,8.359839962760603
55,0.0,891.0,-0.22722222,0.2,100.0,2.455669516086573,41.45459701305627,2.8298049625357047,0.048568339010079065,1.0371057113607751
56,2.0,627.0,0.39855555,0.0,32.092224,-3.1376676759322315,44.197145822624385,3.2224755236307727,-0.18931591443222073,-2.401795167942849
57,5.0,134.0,-2.8325834,0.0,46.20139,-2.3954009702603045,-62.66064091372491,1.744192491888998,-0.09211941011747005,-2.0534406201839452
58,6.0,247.0,7.775111,0.0,23.796667,-2.430043783386548,-62.9913063710928,0.37133478124935904,-0.1270130783319492,-1.126793391108512
59,6.0,317.0,-0.88983333,0.0,100.0,-2.9841724010407997,-68.96460433429483,2.465301542818545,-0.1047294893463464,3.1299545955558603
60,1.0,674.0,4.371333,0.024666667,50.18,-2.3059621014594853,43.21785394525529,2.1186740300655327,-0.08048781567811725,-4.192783443868164
61,6.0,1184.0,6.9254165,0.0,67.03667,-3.5943961932659256,22.97356017923356,0.050541862607006216,-0.5294480161269517,-9.779315757195153
62,4.0,974.0,20.67875,1.3,85.0,-2.780784168601068,54.30930215422313,-9.936441897809509,1.848339230159918,6.339050316850347
63,0.0,502.0,16.677029,0.0,42.3025,5.201660490413504,21.97612909583251,-2.1684892484744447,0.31576289463043183,-4.380329653243226
64,0.0,197.0,9.577639,0.0,27.776388,1.8876551806728141,-66.62288664809863,-0.060114009698230664,0.3099249731302218,-1.9971823712388685
65,0.0,1144.0,20.034306,0.0,19.686111,11.902488932470483,41.458295990288256,1.1553031823635034,0.34091775522629275,-15.105707950135074
66,5.0,1246.0,-0.9916111,0.0,34.608334,-10.009196926434829,-15.600229171792678,-0.8989940546751027,0.03853486450512644,-7.234078031857811
67,4.0,1091.0,0.6425,1.3875,100.0,-3.3098590688904217,67.54944306999447,5.278771195511022,1.5952881897489233,24.894520978927613
68,5.0,1261.0,7.49425,0.0,100.0,-16.137598400870957,-7.2107702785332926,0.9616172423362741,0.16798299773534575,14.633171360532444
69,3.0,934.0,14.311944,0.0,3.423889,-1.0453558214902952,43.556397400259975,-4.16876282934348,-0.11380967591206792,-9.458051900605357
70,6.0,1075.0,0.34919444,0.41405556,73.038055,8.075511030832926,55.68890227822464,3.840043064832687,0.4654454166491786,-8.701713926712673
71,6.0,321.0,-0.8,0.428,100.0,-2.881658993442848,-69.72892254787683,2.4994489832917846,0.11552984378735198,2.7623887721896137
72,5.0,766.0,15.177333,2.8066666,100.0,2.377543895522738,59.05522219198943,-1.7513268995483728,4.36080321170886,9.139917937298613
73,1.0,355.0,14.4840555,0.0,0.0,9.124230669756736,-34.75819248296818,0.519668774674336,0.433453028470276,-2.79055647669236
74,0.0,46.0,10.782222,0.0,23.722221,1.7835597296555843,-66.84844250162445,-0.5429646809895856,0.14295194407304068,-2.640337247252464
75,2.0,1289.0,21.965279,0.0,32.50611,4.686643022795522,-8.426955905755369,8.702077523469924,0.5356859338283546,-10.321168685853484
76,3.0,686.0,21.999306,0.0,41.71639,-4.054868987222525,42.219170463462675,-9.782989659130575,-0.11986138653755773,-3.173406304538251
77,6.0,8.0,9.844167,0.0,27.15,-3.3659195213715165,-62.015712552587175,-0.13829263420899718,-0.1463838169177416,-2.23340622377396
78,5.0,1439.0,6.002917,0.0,74.8775,-7.80200995862484,-62.200265552600214,0.0782922758658704,0.15434133191903365,0.30575131038824566
79,2.0,419.0,2.2973888,0.09869444,100.0,12.992872336586332,32.17267336773873,4.907488281806306,0.18275251197814812,12.45171868749459
80,5.0,1073.0,8.711667,0.0,100.0,-5.396453077574584,65.60207129321495,0.4576327115495986,-0.4117165196736674,16.549400343517462
81,4.0,974.0,14.2,0.0,80.11,-4.477676296234124,52.13360341827074,-4.512977492213241,-0.31979784429073455,2.018096686204269
82,5.0,1095.0,3.2283332,0.0,63.866665,-5.947147274255748,45.87814402695497,3.5201231439510954,-0.4502376658121756,-11.228008392890294
83,5.0,263.0,8.022889,0.0,100.0,-2.5050487980246547,-70.0261253638069,-0.9588281686107343,-0.06164058387279381,3.5250501423080784
84,6.0,1349.0,-1.1938334,0.0,30.489721,-6.398954978466026,-48.69944098142784,0.3416371686458546,-0.08265366840362853,-1.3056004364093161
85,5.0,1301.0,14.7655,0.0,38.62417,-10.376389756242432,-28.582208071589484,-0.40424037480355146,0.18508386051654124,-5.5437432341178265
86,4.0,765.0,4.904222,0.3478889,100.0,-1.8941574345827163,47.917946035981174,1.8668918111125619,0.5018258565862945,6.7207530058622345
87,0.0,1268.0,0.38222224,0.0,30.0,9.60154492698113,-11.761310243089996,-2.922599063893168,0.5255373713572795,-12.441619496424991
88,6.0,655.0,15.674,0.107,71.62,-1.308430639227213,53.13460327792167,-3.9724057697455137,-0.06831066679954878,-4.076760830998417
89,6.0,37.0,17.861723,0.06261111,69.60833,-3.5211063761512467,-60.68961124747993,-0.5636755954225863,-0.08003786822160075,0.6275671856602032
90,6.0,744.0,17.880972,0.0,83.422226,1.8956898775498257,56.13458313016096,-3.3268659660418827,-0.4904053653478644,-4.682551849603653
91,3.0,379.0,-2.266389,0.0,15.99,4.111770845254256,-8.991201589802905,7.5538277306159305,0.030537544190882837,-11.56936690568924
92,3.0,1304.0,5.425139,0.0,30.0,-1.6558421096007034,-30.989435086329784,-0.6880115827719413,0.4139416046142559,-6.8570992089112615
93,4.0,1336.0,9.336,0.0,80.346664,-4.683223446210249,-39.54939174890519,-0.4753029104073838,0.27499253571033533,0.0711348722378391
94,1.0,386.0,2.7448888,0.22044444,86.08444,12.220486147562665,11.358371401588123,5.945044288694852,-0.05220970803499325,3.7485388858715645
95,2.0,332.0,2.6,1.2073333,100.0,-0.21480921774107387,-73.04992590376735,1.221067201902465,-1.0571397408247,-0.9838877193033682
96,3.0,1132.0,7.5964446,0.0,86.164444,-2.919921317696579,36.26831961790721,0.3657543547948183,0.4739789921045272,-8.31525170564652
97,0.0,1233.0,14.851334,0.0,30.0475,12.803235318760088,9.309510369400185,0.39488774538039895,0.47153297414381834,-14.675134122471018
98,0.0,387.0,11.607778,0.0,49.15,7.689711219668387,-3.401388887564341,-0.4145332382122633,1.148575087984399,-2.577386462092398
99,6.0,771.0,2.3276668,0.1,79.14889,2.8327058646678633,55.50958549594882,5.223153037389125,-0.2368361093997975,-5.268777663548791
100,1.0,179.0,1.8988333,0.0,8.118333,0.9717636993527385,-68.85615103498102,1.4238910510142615,0.1677861940364016,-2.096975342333318
101,5.0,1258.0,12.836361,0.1,97.06416,-14.26442829589049,-12.308376880089433,-0.8709201558430988,0.11657282769680188,4.811619970003765
102,1.0,458.0,-3.4441667,0.0,100.0,6.703192152619377,30.03337770913044,5.560379000345861,0.48327208602427874,10.68582915935914
103,3.0,107.0,-1.4110556,0.0,64.108055,-1.0206825681130152,-66.43995970205467,0.2013418269554732,-0.034733014663062,-1.4708048013448742
104,1.0,1252.0,5.113,0.0,58.461666,7.456356942832464,-5.085430562317372,-2.042054794649283,0.4581253443956381,-9.102746139188604
105,4.0,1086.0,23.055,0.11125,34.5875,-4.615494683583552,46.62554695536693,-1.2130934590101248,-0.015408563216528393,-9.04893672655026
106,3.0,1332.0,8.409972,0.0,52.357777,-0.7546966386635958,-37.81217634447416,-0.7951054037412044,0.2918633217811557,-2.6799793891906734
107,4.0,1339.0,10.81425,0.0,0.6825,-4.316042156577097,-36.182928401390726,-0.8476410719354917,0.20589561794201217,-3.515437707463898
108,6.0,669.0,2.797,0.0,5.67,3.8829733311335186,64.05656962565578,6.450473263780275,-0.3056728052894342,1.2652973904411011
109,3.0,766.0,5.53175,1.0545,91.0,-3.7848850520650323,43.14785480457546,1.8346434558232652,2.410826607326669,-1.0687355333765338
110,6.0,208.0,3.3,0.0,98.96389,-3.0832312287092254,-67.24235746455193,1.2853588337500899,-0.19121016256014967,2.893585119326911
111,4.0,909.0,8.262777,0.0,92.52917,-2.221617976188673,46.41922289693356,0.8514307344357199,-0.43088287687302484,3.4404113672574326
112,0.0,634.0,3.51625,0.0,94.70556,-1.6467440315484954,43.78623423790934,1.5888874709208864,0.022403227647145307,3.0328656380971286
113,3.0,244.0,3.8157778,0.2,100.0,0.04764217388628822,-72.62082018999259,0.3361514037052773,0.006987714787323185,3.976425385097662
114,4.0,1399.0,10.110222,0.0,21.364445,-4.083242023448168,-53.57589526977142,-0.221812660555043,0.23847698513666638,-4.263633543908598
115,3.0,795.0,17.72875,0.17425,25.03,-4.25792962050436,42.762396975894774,-3.127960007349647,0.02645765765507857,-2.4973244441151645
116,3.0,771.0,28.171112,0.18569444,86.26667,-3.868230672041605,34.0429203598102,-19.2710928846995,0.013695585568744395,-0.6782854330142349
117,3.0,668.0,5.7974443,0.0,60.309444,-2.9588908160527385,43.11931457769872,1.4128498070637359,-0.43003038334846533,-6.12738839038213
118,1.0,152.0,12.0805,0.0,36.518333,1.205110786239306,-66.90886759879191,0.032481300810975444,0.11584622748692519,-2.69167826207479
119,6.0,355.0,1.0843333,0.20783333,100.0,-5.162534518430638,-56.45138758628567,3.5800521368384337,0.041191111167273586,-0.09117299809058554
120,5.0,162.0,5.640278,0.0,10.451389,-1.6989872490564935,-63.893601677934335,1.4643019675016369,-0.021003813465439336,-1.1655548295577385
121,3.0,944.0,14.227917,0.0,3.2558334,-0.9579802253842526,44.3056678702434,-4.070204409261548,-0.11713556518157686,-9.997565995554126
122,6.0,605.0,14.832084,0.01761111,97.44639,-7.744409254352247,41.8449144125382,-4.107368132630986,-0.42991006370386486,2.5508944346904756
123,0.0,344.0,6.857,0.0,2.2616668,2.4103140491743904,-53.80069316250582,2.0250167588144525,0.23681064459184364,-0.11840706321100658
124,1.0,785.0,4.575,0.1,100.0,-1.6088644894361543,42.88936092323066,0.8051925011078573,-0.009868028402332474,4.799332594533757
125,3.0,82.0,13.43825,1.52675,93.825,0.023405795395365914,-68.51416651705901,-0.19422361522913434,0.07398143281538871,1.9850425135095913
126,2.0,1122.0,27.364445,0.0,43.55,3.4456952439745194,48.43379149824381,-1.8554526870449375,-0.005065602858862039,-7.114617258409662
127,3.0,806.0,17.817083,0.15658334,25.736666,-3.963500229358697,42.07219663447141,-3.411437790234888,0.021409938792389838,-2.4050308607419333
128,4.0,1181.0,8.895,2.3683333,100.0,-7.136903004388014,45.19927623883884,-0.3817986641724973,0.7474649499456119,30.249985684911426
129,1.0,1303.0,10.382167,0.1273889,99.17834,7.262852265963954,-20.838857961912957,-2.0539334579507487,0.21777958023547894,7.8914504953523466
130,5.0,59.0,1.0089444,0.0,85.01278,-2.340254825949673,-64.31291138192017,2.4722789571682604,-0.15548217296600564,-0.4554544808467229
131,5.0,1186.0,5.8862224,0.0,80.05222,-11.0216496401628,9.769280688405031,-0.9189905019203866,-0.042694258650148864,-15.37566705421607
132,0.0,0.0,2.804861,0.0,72.272224,1.2184686983625035,-71.30405000348887,-0.14439715534448716,0.08611206293105678,-0.7130739124616006
133,2.0,744.0,16.314556,0.040777776,91.81555,-3.2053314114808984,43.80463944244386,1.2061506637732222,-0.014076189716650589,1.5009615477720937
134,0.0,313.0,13.676945,0.4446111,100.0,1.3498170077701594,-74.41255687076351,0.49594003522395846,-0.3495040008773427,3.533758555342754
135,3.0,721.0,5.3074164,0.9049444,91.0,-3.2681188665230927,48.01081011221808,1.8307438873847293,1.7499032408595099,1.3321343409617707
136,0.0,925.0,4.3116665,0.0,53.233334,3.1344607566793687,50.30378400971491,2.1772386820117515,-0.09416178077459314,-1.3680767359336232
137,5.0,693.0,7.298333,0.0,35.975,2.2963367997407733,61.380716186245266,2.073219029784199,-0.3457793211142226,-2.256985067645708
138,2.0,875.0,21.397083,0.0,43.0875,1.155374666551742,42.75340645819903,-5.963103489975136,-0.14030596832434883,0.6876864976684205
139,6.0,585.0,-0.43733335,0.0,10.726666,-6.852172530571625,43.66241101833185,6.946448564946651,-0.47063856202364196,2.366219878514605
140,5.0,904.0,9.366,0.1,38.266666,-3.3712030083735733,50.75121696464221,-0.5814918506940332,-0.14072503713766782,-2.400037061055503
141,0.0,1219.0,6.472778,0.0,80.0,10.24848161898057,8.728005295018354,-2.8340365042090427,0.45697999161481784,-15.116641402324046
142,5.0,616.0,-0.08375,0.0,18.0575,4.355365175545238,58.91135803157091,4.474381515920165,-0.27245494163036277,2.1507511561512924
143,5.0,1123.0,9.3,0.0,44.5625,-11.560865133364992,34.629277538498236,-2.024101599812511,-0.20281658804417457,-15.27260750091076
144,6.0,264.0,1.1397778,0.3,100.0,-3.1660637282431026,-69.44543368886909,1.8998317892750118,0.1985744712154065,3.7080803204973525
145,4.0,133.0,5.4158335,0.0,0.0,-1.0611638679305688,-64.92351711980503,1.3918166409730905,-0.006923770328365553,-2.4193726709683756
146,6.0,234.0,12.809361,0.009361112,59.127777,-3.520177463948727,-61.43771658019225,0.15855193509658116,-0.1918132647474624,-1.4525454571445802
147,0.0,148.0,-0.61944443,0.51666665,88.25,0.742349358399709,-69.22465198516848,1.5506730537613223,-0.29408942908048763,0.8432812555630989
