latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,8.543372,442.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),cloud_cover (%),wind_speed_10m (km/h)
2024-01-01T00:00,1.7,89,0.00,0,7.1
2024-01-01T01:00,3.1,82,0.00,0,13.2
2024-01-01T02:00,3.4,80,0.00,14,14.4
2024-01-01T03:00,2.7,83,0.00,82,9.7
2024-01-01T04:00,3.8,75,0.00,59,14.0
2024-01-01T05:00,4.1,75,0.00,31,17.5
2024-01-01T06:00,3.8,78,0.20,33,18.2
2024-01-01T07:00,3.8,77,0.00,14,17.1
2024-01-01T08:00,3.9,75,0.00,2,18.1
2024-01-01T09:00,3.6,74,0.00,14,15.9
2024-01-01T10:00,4.0,72,0.00,32,14.5
2024-01-01T11:00,5.2,69,0.00,40,13.7
2024-01-01T12:00,6.3,63,0.00,30,11.0
2024-01-01T13:00,7.2,63,0.00,52,9.9
2024-01-01T14:00,7.7,61,0.00,49,10.0
2024-01-01T15:00,7.5,63,0.10,100,14.6
2024-01-01T16:00,6.8,70,0.00,100,11.5
2024-01-01T17:00,6.4,72,0.00,100,10.8
2024-01-01T18:00,5.7,76,0.10,64,9.6
2024-01-01T19:00,3.8,85,0.00,48,7.2
2024-01-01T20:00,2.6,87,0.00,33,6.4
2024-01-01T21:00,1.8,88,0.00,30,7.1
2024-01-01T22:00,1.1,91,0.00,36,7.2
2024-01-01T23:00,0.9,94,0.00,65,6.1
2024-01-02T00:00,0.4,97,0.00,32,5.8
2024-01-02T01:00,0.2,100,0.00,37,5.4
2024-01-02T02:00,0.6,99,0.00,90,5.8
2024-01-02T03:00,0.4,94,0.00,89,6.1
2024-01-02T04:00,0.6,93,0.00,90,5.2
2024-01-02T05:00,1.3,92,0.00,90,4.3
2024-01-02T06:00,2.5,81,0.10,92,8.3
2024-01-02T07:00,2.9,78,0.10,99,7.7
2024-01-02T08:00,2.9,80,0.10,100,4.8
2024-01-02T09:00,3.7,77,0.10,100,7.6
2024-01-02T10:00,4.4,76,0.10,100,11.4
2024-01-02T11:00,5.4,75,0.00,94,11.2
2024-01-02T12:00,6.3,76,0.00,100,16.6
2024-01-02T13:00,7.2,74,0.10,95,16.1
2024-01-02T14:00,7.0,75,0.00,96,11.7
2024-01-02T15:00,7.8,80,0.20,96,14.8
2024-01-02T16:00,7.5,84,0.30,95,17.8
2024-01-02T17:00,7.4,84,0.60,100,15.3
2024-01-02T18:00,7.4,85,0.80,100,18.3
2024-01-02T19:00,7.5,84,0.90,100,16.3
2024-01-02T20:00,6.9,85,1.00,94,9.4
2024-01-02T21:00,6.2,86,0.20,92,5.7
2024-01-02T22:00,5.9,87,0.20,100,5.1
2024-01-02T23:00,6.4,86,0.30,100,6.9
2024-01-03T00:00,7.9,80,0.00,86,17.3
