latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.34622,8.543372,442.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day ()
2024-01-01T00:00,1.7,89,-1.5,0.00,0,7.1,0.0,0
2024-01-01T01:00,3.1,82,-0.9,0.00,0,13.2,0.0,0
2024-01-01T02:00,3.4,80,-0.8,0.00,14,14.4,0.0,0
2024-01-01T03:00,2.7,83,-0.8,0.00,82,9.7,0.0,0
2024-01-01T04:00,3.8,75,-0.4,0.00,59,14.0,0.0,0
2024-01-01T05:00,4.1,75,-0.6,0.00,31,17.5,0.0,0
2024-01-01T06:00,3.8,78,-0.9,0.20,33,18.2,0.0,0
2024-01-01T07:00,3.8,77,-0.8,0.00,14,17.1,0.0,0
2024-01-01T08:00,3.9,75,-0.9,0.00,2,18.1,0.0,0
2024-01-01T09:00,3.6,74,-0.9,0.00,14,15.9,0.0,0
2024-01-01T10:00,4.0,72,-0.4,0.00,32,14.5,18.0,1
2024-01-01T11:00,5.2,69,1.0,0.00,40,13.7,108.0,1
2024-01-01T12:00,6.3,63,2.5,0.00,30,11.0,200.0,1
2024-01-01T13:00,7.2,63,3.8,0.00,52,9.9,276.0,1
2024-01-01T14:00,7.7,61,4.3,0.00,49,10.0,277.0,1
2024-01-01T15:00,7.5,63,3.4,0.10,100,14.6,186.0,1
2024-01-01T16:00,6.8,70,3.3,0.00,100,11.5,62.0,1
2024-01-01T17:00,6.4,72,3.0,0.00,100,10.8,44.0,1
2024-01-01T18:00,5.7,76,2.4,0.10,64,9.6,7.0,0
2024-01-01T19:00,3.8,85,0.9,0.00,48,7.2,0.0,0
2024-01-01T20:00,2.6,87,-0.3,0.00,33,6.4,0.0,0
2024-01-01T21:00,1.8,88,-1.4,0.00,30,7.1,0.0,0
2024-01-01T22:00,1.1,91,-2.1,0.00,36,7.2,0.0,0
2024-01-01T23:00,0.9,94,-2.1,0.00,65,6.1,0.0,0
2024-01-02T00:00,0.4,97,-2.5,0.00,32,5.8,0.0,0
2024-01-02T01:00,0.2,100,-2.7,0.00,37,5.4,0.0,0
2024-01-02T02:00,0.6,99,-2.3,0.00,90,5.8,0.0,0
2024-01-02T03:00,0.4,94,-2.6,0.00,89,6.1,0.0,0
2024-01-02T04:00,0.6,93,-2.3,0.00,90,5.2,0.0,0
2024-01-02T05:00,1.3,92,-1.5,0.00,90,4.3,0.0,0
2024-01-02T06:00,2.5,81,-0.9,0.10,92,8.3,0.0,0
2024-01-02T07:00,2.9,78,-0.4,0.10,99,7.7,0.0,0
2024-01-02T08:00,2.9,80,0.1,0.10,100,4.8,0.0,0
2024-01-02T09:00,3.7,77,0.4,0.10,100,7.6,0.0,0
2024-01-02T10:00,4.4,76,0.7,0.10,100,11.4,4.0,1
